Source,All Sessions,Sessions with Check-Out,Sessions with Transactions,PC_Checkout,PC_Transactions
travel.essentialist.com,2,0,0,0,0
tripadvisor,2,0,0,0,0
us18.campaign-archive.com,2,0,0,0,0
virtuoso.com,2,0,0,0,0
yandex.ru,2,0,0,0,0
zola.lightning.force.com,2,0,0,0,0
192.168.0.7:8081,1,0,0,0,0
192.168.128.110:8081,1,0,0,0,0
39025th.vacadesk.com,1,0,0,0,0
acmemarinas2.lightning.force.com,1,0,0,0,0
admin.yelp.com,1,0,0,0,0
aisleplanner.com,1,0,0,0,0
albatros.pl,1,1,0,100,0
an,1,0,0,0,0
analytics.google.com,1,0,0,0,0
belia-glp.com,1,0,0,0,0
benable.com,1,0,0,0,0
business.facebook.com,1,0,0,0,0
campgrounds.wiki,1,0,0,0,0
centurylink.net,1,0,0,0,0
cfkedu.sharepoint.com,1,0,0,0,0
chowhound.com,1,0,0,0,0
clearscope.io,1,0,0,0,0
cloud5.my.salesforce.com,1,0,0,0,0
cms.vizergy.com,1,0,0,0,0
cvent.com,1,0,0,0,0
de.search.yahoo.com,1,0,0,0,0
deref-mail.com,1,0,0,0,0
destinationfloridakeys.com,1,0,0,0,0
dnserrorassist.att.net,1,0,0,0,0
dod.teams.microsoft.us,1,1,1,100,0
euc-word-edit.officeapps.live.com,1,0,0,0,0
FKDC,1,0,0,0,0
flipboard.com,1,0,0,0,0
fr.search.yahoo.com,1,0,0,0,0
frontpage.pch.com,1,0,0,0,0
furever-us-1.showitpreview.com,1,0,0,0,0
golfweek.usatoday.com,1,0,0,0,0
google my businessutm_medium=listingutm_campaign=visit website,1,0,0,0,0
googleweblight.com,1,0,0,0,0
gopher.com,1,0,0,0,0
groupon.com,1,0,0,0,0
helleskitchen.org,1,0,0,0,0
hilaryblog.top,1,0,0,0,0
hsm.lightning.force.com,1,0,0,0,0
